ui_path,object_id,widget_class,policy,notification_profile,exclusion_reason
cui/uiconfig/ui/querydeletegradientdialog.ui,AskDelGradientDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydeletehatchdialog.ui,AskDelHatchDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydeletelineenddialog.ui,AskDelLineEndDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydeletelinestyledialog.ui,AskDelLineStyleDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querydialog.ui,QueryDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/queryduplicatedialog.ui,DuplicateNameDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querynoloadedfiledialog.ui,NoLoadedFileDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querynosavefiledialog.ui,NoSaveFileDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/querysavelistdialog.ui,AskSaveList,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/queryupdategalleryfilelistdialog.ui,QueryUpdateFileListDialog,GtkMessageDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/recordnumberdialog.ui,RecordNumberDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/screenshotannotationdialog.ui,ScreenshotAnnotationDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/scriptorganizer.ui,ScriptOrganizerDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/searchattrdialog.ui,SearchAttrDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/searchformatdialog.ui,SearchFormatDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/securityoptionsdialog.ui,SecurityOptionsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/selectpathdialog.ui,SelectPathDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/showcoldialog.ui,ShowColDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/signatureline.ui,SignatureLineDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/signsignatureline.ui,SignSignatureLineDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/similaritysearchdialog.ui,SimilaritySearchDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/smoothdialog.ui,SmoothDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/solarizedialog.ui,SolarizeDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/specialcharacters.ui,SpecialCharactersDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/spellingdialog.ui,SpellingDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/spelloptionsdialog.ui,SpellOptionsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/spinbox.ui,SpinDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/splitcellsdialog.ui,SplitCellsDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/storedwebconnectiondialog.ui,StoredWebConnectionDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/textdialog.ui,TextDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/thesaurus.ui,ThesaurusDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/tipofthedaydialog.ui,TipOfTheDayDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/tsaurldialog.ui,TSAURLDialog,GtkDialog,bottom-right-notification-form,default,
cui/uiconfig/ui/uipickerdialog.ui,UIPickerDialog,GtkDialog,bottom-right-notification-form,default,
